chrome.fileBrowserHandler.selectFile mychrome_fileBrowserHandler_selectFile
chrome.fileSystemProvider.mount mychrome_fileSystemProvider_mount
chrome.fileSystemProvider.unmount mychrome_fileSystemProvider_unmount
chrome.fileSystemProvider.getAll mychrome_fileSystemProvider_getAll
chrome.fileSystemProvider.get mychrome_fileSystemProvider_get
chrome.fileSystemProvider.notify mychrome_fileSystemProvider_notify
chrome.fontSettings.clearFont mychrome_fontSettings_clearFont
chrome.fontSettings.getFont mychrome_fontSettings_getFont
chrome.fontSettings.setFont mychrome_fontSettings_setFont
chrome.fontSettings.getFontList mychrome_fontSettings_getFontList
chrome.fontSettings.clearDefaultFontSize mychrome_fontSettings_clearDefaultFontSize
chrome.fontSettings.getDefaultFontSize mychrome_fontSettings_getDefaultFontSize
chrome.fontSettings.setDefaultFontSize mychrome_fontSettings_setDefaultFontSize
chrome.fontSettings.clearDefaultFixedFontSize mychrome_fontSettings_clearDefaultFixedFontSize
chrome.fontSettings.getDefaultFixedFontSize mychrome_fontSettings_getDefaultFixedFontSize
chrome.fontSettings.setDefaultFixedFontSize mychrome_fontSettings_setDefaultFixedFontSize
chrome.fontSettings.clearMinimumFontSize mychrome_fontSettings_clearMinimumFontSize
chrome.fontSettings.getMinimumFontSize mychrome_fontSettings_getMinimumFontSize
chrome.fontSettings.setMinimumFontSize mychrome_fontSettings_setMinimumFontSize
chrome.fontSettings.onFontChanged.addListener mychrome_fontSettings_onFontChanged_addListener
chrome.fontSettings.onDefaultFontSizeChanged.addListener mychrome_fontSettings_onDefaultFontSizeChanged_addListener
chrome.fontSettings.onDefaultFixedFontSizeChanged.addListener mychrome_fontSettings_onDefaultFixedFontSizeChanged_addListener
chrome.fontSettings.onMinimumFontSizeChanged.addListener mychrome_fontSettings_onMinimumFontSizeChanged_addListener
chrome.gcm.register mychrome_gcm_register
chrome.gcm.unregister mychrome_gcm_unregister
chrome.gcm.send mychrome_gcm_send
chrome.gcm.onMessage.addListener mychrome_gcm_onMessage_addListener
chrome.gcm.onMessagesDeleted.addListener mychrome_gcm_onMessagesDeleted_addListener
chrome.gcm.onSendError.addListener mychrome_gcm_onSendError_addListener
chrome.history.search mychrome_history_search
chrome.history.getVisits mychrome_history_getVisits
chrome.history.addUrl mychrome_history_addUrl
chrome.history.deleteUrl mychrome_history_deleteUrl
chrome.history.deleteRange mychrome_history_deleteRange
chrome.history.deleteAll mychrome_history_deleteAll
chrome.history.onVisited.addListener mychrome_history_onVisited_addListener
chrome.history.onVisitRemoved.addListener mychrome_history_onVisitRemoved_addListener
chrome.i18n.getAcceptLanguages mychrome_i18n_getAcceptLanguages
chrome.i18n.getMessage mychrome_i18n_getMessage
chrome.i18n.getUILanguage mychrome_i18n_getUILanguage
chrome.i18n.detectLanguage mychrome_i18n_detectLanguage
chrome.identity.getAccounts mychrome_identity_getAccounts
chrome.identity.getAuthToken mychrome_identity_getAuthToken
chrome.identity.getProfileUserInfo mychrome_identity_getProfileUserInfo
chrome.identity.removeCachedAuthToken mychrome_identity_removeCachedAuthToken
chrome.identity.launchWebAuthFlow mychrome_identity_launchWebAuthFlow
chrome.identity.getRedirectURL mychrome_identity_getRedirectURL
chrome.identity.onSignInChanged.addListener mychrome_identity_onSignInChanged_addListener
chrome.idle.queryState mychrome_idle_queryState
chrome.idle.setDetectionInterval mychrome_idle_setDetectionInterval
chrome.idle.onStateChanged.addListener mychrome_idle_onStateChanged_addListener
chrome.input.ime.setComposition mychrome_input_ime_setComposition
chrome.input.ime.clearComposition mychrome_input_ime_clearComposition
chrome.input.ime.commitText mychrome_input_ime_commitText
chrome.input.ime.sendKeyEvents mychrome_input_ime_sendKeyEvents
chrome.input.ime.hideInputView mychrome_input_ime_hideInputView
chrome.input.ime.setCandidateWindowProperties mychrome_input_ime_setCandidateWindowProperties
chrome.input.ime.setCandidates mychrome_input_ime_setCandidates
chrome.input.ime.setCursorPosition mychrome_input_ime_setCursorPosition
chrome.input.ime.setMenuItems mychrome_input_ime_setMenuItems
chrome.input.ime.updateMenuItems mychrome_input_ime_updateMenuItems
chrome.input.ime.deleteSurroundingText mychrome_input_ime_deleteSurroundingText
chrome.input.ime.keyEventHandled mychrome_input_ime_keyEventHandled
chrome.input.ime.onActivate.addListener mychrome_input_ime_onActivate_addListener
chrome.input.ime.onDeactivated.addListener mychrome_input_ime_onDeactivated_addListener
chrome.input.ime.onFocus.addListener mychrome_input_ime_onFocus_addListener
chrome.input.ime.onBlur.addListener mychrome_input_ime_onBlur_addListener
chrome.input.ime.onInputContextUpdate.addListener mychrome_input_ime_onInputContextUpdate_addListener
chrome.input.ime.onKeyEvent.addListener mychrome_input_ime_onKeyEvent_addListener
